"SiteCode","Year","SiteStatus","ypr","sp.abun","sp.chao1","sp.shan","sp.evar","sp.rich","VegRichness","VegDiversity","Natural","f.FDis"
"C3b",2006,"control",0,40,14,1.66932100741392,0.442484015456972,9,12,0.622398227345682,0.579618034330215,0.118063806385408
"H2",2006,"control",0,23,4,1.17483248390604,0.568205833642724,4,8,-0.80939334602912,0.0528429859218842,0.0648769280197244
"C2a",2006,"control",0,39,3,0.856752244048739,0.469445518538969,3,3,-1.57485445574028,-3.19949695847324,0.0237307984304324
"C1a",2006,"control",0,37,26,2.08019901409706,0.625178563077538,14,11,0.606208450885727,1.25256113124554,0.335507500395803
"C5a",2006,"control",0,68,10.5,1.75624221051371,0.485266948529423,10,7,0.332060758569412,0.480589559995743,0.180527223460987
"H1",2007,"control",0,78,23,2.01561327001784,0.445258227043094,16,7,-0.0899294356114595,0.914844248452199,0.156692082136118
"C1b",2007,"control",0,71,36.3333333333333,2.15393204705286,0.488023845369767,18,10,0.407334682110748,0.826780736872021,0.15495746633389
"H4",2007,"restored",1,141,20,2.36593862737066,0.436832490981161,19,23,1.72966602126451,0.135690773348266,0.301407986105921
"H2",2007,"restored",1,75,8.33333333333333,1.33185220565451,0.364703572321902,8,21,1.71097747082759,0.0528429859218842,0.0940089451766861
"H3",2007,"control",0,56,11,1.28996602253911,0.353435264128282,8,7,-0.161429898839771,-0.840861621385926,0.0605277519801228
"C4a",2007,"control",0,37,27,2.30586436739689,0.665437379101137,15,9,-0.000840411325877496,-0.334665562433693,0.330808962712533
"C3b",2007,"control",0,77,15.3333333333333,1.73657422100351,0.396867711104517,12,9,0.525482571649994,0.579618034330215,0.157335689457002
"C2b",2007,"control",0,55,18,1.16443850164354,0.338944100605691,8,7,-0.211059567552471,0.582549411797178,0.116959065145998
"C1a",2007,"control",0,49,16,1.95750404682109,0.496522243497731,10,12,1.42678393035331,1.25256113124554,0.284598135681321
"C5a",2007,"control",0,60,14,1.48174498568761,0.338317426252354,8,8,0.325076608350311,0.480589559995743,0.140266418243132
"C2a",2007,"control",0,30,6,1.25976680298187,0.43787946985973,5,5,-0.752241578109938,-3.19949695847324,0.0616141804513031
"C3a",2007,"control",0,50,6,1.21954228492746,0.421132629770457,6,9,0.73291359563446,0.619729715815743,0.0889517678568779
"C4b",2007,"control",0,50,17,2.02308924780653,0.531390989659624,12,10,-0.80299232248898,1.109936199509,0.199873707380193
"C5b",2007,"control",0,78,8.5,1.10598452500519,0.267811956534653,7,4,-0.819115968334938,-0.921952751562352,0.0436716231605732
"H5",2007,"control",0,34,8.33333333333333,1.78910928854978,0.605352885965709,8,8,-0.335935089671537,0.104984327615177,0.161079386627571
"C2a",2008,"control",0,50,9,1.15891224621174,0.314857392671678,6,11,0.0505428520071953,-3.19949695847324,0.057757293109604
"C4a",2008,"control",0,59,8,0.824713753729551,0.234656452848175,5,10,0.386707961676758,-0.334665562433693,0.0407983770713627
"H4",2008,"restored",2,107,18.5,2.12460471162568,0.412898974473354,16,19,1.38530260749392,0.135690773348266,0.248747116265125
"C5a",2008,"control",0,88,4,1.30020812181142,0.885763913610457,4,7,-0.07537805624873,0.480589559995743,0.129317900441016
"C3b",2008,"control",0,84,9.5,1.24448521204464,0.313312439419955,8,11,0.935559167361869,0.579618034330215,0.125481008090138
"H2",2008,"restored",2,33,6,1.22242299845176,0.410226009574565,5,13,0.753522616816039,0.0528429859218842,0.0633653449970117
"C3a",2008,"control",0,82,8,1.02162372741138,0.257410405630872,7,11,0.742788404629165,0.619729715815743,0.0580308605793564
"H3",2008,"restored",1,82,12,1.51529572129395,0.370752729563772,9,9,0.44958024428008,-0.840861621385926,0.129831678486781
"C1a",2008,"control",0,75,25,1.47921520927786,0.321150089739573,10,9,0.921020354563716,1.25256113124554,0.23706362323809
"H1",2008,"restored",1,44,11.75,2.05202669231115,0.600791201295748,11,10,0.452047364627904,0.914844248452199,0.1509226646353
"C4b",2008,"control",0,54,9.5,1.90991142080068,0.538969540015161,9,9,-0.754495296666047,1.109936199509,0.181471921654139
"C5b",2008,"control",0,94,8,0.989257943976207,0.23830633841207,7,8,-0.351420076383604,-0.921952751562352,0.0279550011007112
"C1b",2008,"control",0,40,14.5,2.02432364556654,0.601412954816385,12,8,-0.645462047686781,0.826780736872021,0.172737252452924
"C2b",2008,"control",0,45,13,1.22815233757237,0.348416048751077,7,5,-0.58421080117902,0.582549411797178,0.0611645321089494
"H5",2008,"restored",1,49,11,1.46318915135285,0.430147393914293,9,12,0.696935079449842,0.104984327615177,0.160660028291691
"C4a",2009,"control",0,11,3,0.759547391474863,0.591406828967279,3,1,-2.40961495661971,-0.334665562433693,0.100641973175587
"H5",2009,"restored",2,30,8,1.85422102917412,0.703922321262001,8,14,0.303854966129252,0.104984327615177,0.144519008401007
"C1a",2009,"control",0,23,5,1.39814369702982,0.638271470551113,5,7,0.336950766970847,1.25256113124554,0.17351387168672
"H1",2009,"restored",2,25,18,1.53146158656885,0.564661720945002,8,11,0.440047820995742,0.914844248452199,0.102397075215757
"C2b",2009,"control",0,24,7.25,1.47809293049945,0.635275821842601,7,7,-0.322072106215993,0.582549411797178,0.264522573519902
"C3b",2009,"control",0,54,11,1.60416584835065,0.421313912067378,8,10,0.369394277867213,0.579618034330215,0.149672106381819
"C5a",2009,"control",0,35,4,1.02985881533678,0.549959641015355,4,5,-0.119549850722954,0.480589559995743,0.0762044908022173
"C1b",2009,"control",0,64,10.75,1.65453636957478,0.417916725698969,10,3,-1.95587363037244,0.826780736872021,0.135426718854396
"C2a",2009,"control",0,17,5,1.05339549836058,0.495278278417036,4,3,-0.748100255176613,-3.19949695847324,0.0685042541970641
"C3a",2009,"control",0,23,8.5,1.58092153248414,0.609250781709086,7,12,0.777794894965204,0.619729715815743,0.233083710930136
"H3",2009,"maturing",2,97,8,1.57719663339798,0.388766949611793,8,13,1.08579320084137,-0.840861621385926,0.117866597281873
"C4b",2009,"control",0,34,12,1.84898652821872,0.551495340798023,9,12,0.491125915922532,1.109936199509,0.16701130171365
"H2",2009,"maturing",3,41,10.5,1.84507972821668,0.54851792143808,9,18,0.816488100716206,0.0528429859218842,0.210192691354596
"C5b",2009,"control",0,24,10,1.47237313229912,0.526590176969541,7,3,-1.33097763448162,-0.921952751562352,0.132729823078209
"H4",2009,"maturing",3,69,7.25,1.11757431247699,0.309041640437612,7,17,0.8651221318243,0.135690773348266,0.170446674644144
"C4a",2011,"control",0,15,8,1.22933621590766,0.582773606772607,5,6,-0.0320253030468372,-0.165267523415774,0.312232902375787
"H5",2011,"maturing",4,49,11,1.77713330310993,0.52870478784051,10,11,0.358191187279776,0.249975055938292,0.239374905829333
"C2a",2011,"control",0,59,5,0.932085731385692,0.32500734971932,5,7,-0.53415600111908,-1.77628592797237,0.0467310366012365
"H1",2011,"maturing",4,35,5,1.31908770849678,0.625594177274684,5,12,0.33049194041621,0.868254897850863,0.0632899903488774
"C5b",2011,"control",0,13,5.5,1.37781950803903,0.722437270263648,5,8,-0.871215516351115,-0.48811205654303,0.0344960258452957
"C5a",2011,"control",0,44,6,1.0109281128191,0.347229153733853,5,11,0.401676143892562,1.05846832787237,0.101729041180027
"C3a",2011,"control",0,36,8.5,1.36866688847845,0.443251885337438,7,9,0.230303164941854,0.171159451492447,0.0898005022553117
"H3",2011,"maturing",4,36,11,2.03300019997991,0.645238946156088,10,9,0.668900820981384,-1.54424883387108,0.361731158456894
"C1a",2011,"control",0,20,8,1.63850644450423,0.655479736976898,7,7,-0.0536646341088444,1.04370396253686,0.203940385354368
"C4b",2011,"control",0,33,24,1.49429285469364,0.497934169514767,9,6,-0.354380830373325,0.359614699943932,0.115341164877386
"H2",2011,"maturing",5,41,7,1.29988175192187,0.44392410241623,6,10,0.160269981547885,-1.01813201241535,0.174624913331511
"H4",2011,"maturing",5,97,30,1.95920639158202,0.443256663871486,18,26,1.60595991147509,0.265830397235953,0.232889487082938
"C1b",2011,"control",0,49,6,1.06638203322635,0.324940532255369,5,5,-1.25049871972679,0.220268204597764,0.040128336460302
"C2b",2011,"control",0,17,9,1.20008732276787,0.581071002094411,6,3,-1.93836140671675,-0.0914330109657118,0.132297719039127
"C3b",2011,"control",0,75,10,1.22966619122715,0.290063006990587,7,11,0.46235631498699,0.56134246529597,0.0912396356212176
"H1",2012,"maturing",5,35,20,2.18700455018303,0.644828635974463,13,18,1.82075129816854,0.868254897850863,0.241502227976856
"C4b",2012,"control",0,38,11,1.45417825346961,0.45320498972739,8,4,-1.19389811909471,0.359614699943932,0.0865070142790232
"H2",2012,"maturing",6,39,5,1.13187761325216,0.473396816051485,5,8,0.198587591278617,-1.01813201241535,0.133325697696031
"C5b",2012,"control",0,114,9.5,1.38881493715458,0.332508922059547,9,2,-2.05210466848564,-0.48811205654303,0.0690509019479246
"C5a",2012,"control",0,40,11,0.463712409503437,0.288357207117731,5,6,-0.0716824859205163,1.05846832787237,0.0900728915308874
"C1b",2012,"control",0,77,6.5,0.857047043403118,0.278038371240897,6,3,-1.33097763448162,0.220268204597764,0.0353155077280874
"C2a",2012,"control",0,19,4,1.17850528217538,0.616157077693654,4,3,-2.02181318526507,-1.77628592797237,0.0238352843331691
"H3",2012,"maturing",5,108,34,1.54874704748122,0.391255709805613,16,10,0.824565172750104,-1.54424883387108,0.158414836554719
"H4",2012,"maturing",6,135,8.5,0.923457317175284,0.295658851188387,8,25,1.79429071030459,0.265830397235953,0.0767935230075511
"C4a",2012,"control",0,4,3.5,1.03972077083992,0.932286320469123,3,4,-0.698086228877605,-0.165267523415774,0.209302250446841
"H5",2012,"maturing",5,56,12,1.6315193163083,0.390956483068998,9,9,0.289651403790526,0.249975055938292,0.15121210029141
"C2b",2012,"control",0,3,2,0.636514168294813,0.923898109345373,2,5,-0.0218642946867553,-0.0914330109657118,0.0309472199857558
"C3b",2012,"control",0,128,10.75,1.10644283191647,0.299851136690099,10,6,-0.316711970145801,0.56134246529597,0.110077071810277
"C1a",2012,"control",0,9,3,0.936888307539016,0.730321687701335,3,8,0.286225008665291,1.04370396253686,0.211237158201718
"H4",2013,"maturing",7,162,13,0.429602002383025,0.222499454868531,8,28,1.97177385372126,0.265830397235953,0.034302901093306
"H1",2013,"maturing",6,46,31.1666666666667,2.87140834314888,0.775513151446871,22,17,1.72593266659229,0.868254897850863,0.313635395506108
"H5",2013,"maturing",6,8,36,2.07944154167984,1,8,14,0.919399407970202,0.249975055938292,0.298519872233763
"C5a",2013,"control",0,38,3,0.82722870136718,0.588768434748921,3,7,0.310363364424961,1.05846832787237,0.116259797227005
"H3",2013,"maturing",6,88,13,1.36938751713791,0.37458480119544,11,5,-0.621472819402243,-1.54424883387108,0.137525094370327
"C4b",2013,"control",0,36,12,1.73021967984502,0.532746032094629,9,4,-0.836666994640078,0.359614699943932,0.136007910081753
"C1b",2013,"control",0,92,52,1.96242540318569,0.439068230666185,19,8,-0.360307916524494,0.220268204597764,0.167665221050912
"C5b",2013,"control",0,3,2,0.636514168294813,0.923898109345373,2,1,-2.40961495661971,-0.48811205654303,0.0163755777112349
"C1a",2013,"control",0,45,8.5,1.37519217831076,0.383507818602136,7,7,-0.343685349834479,1.04370396253686,0.140686192687297
"C2b",2013,"control",0,18,3,0.777789931555932,0.634652497279957,3,6,-1.41982805484321,-0.0914330109657118,0.0112262261262567
"C3b",2013,"control",0,141,20.2,1.43325668906797,0.359450256682926,16,8,0.669705283917439,0.56134246529597,0.133025555958406
"H2",2013,"maturing",7,49,11,1.58048544400205,0.416054810968456,9,8,-0.618978920100413,-1.01813201241535,0.271878375831786
"C2a",2013,"control",0,41,7,1.49675874882021,0.451142841573657,6,13,0.400038781482066,-1.77628592797237,0.189514995854266
"H1",2014,"maturing",7,43,28,2.17388913396768,0.58317154405478,14,12,0.466425545180246,0.868254897850863,0.271737113982948
"C4b",2014,"control",0,36,4,1.01390783938356,0.419917336677896,4,9,-0.456768662783159,0.359614699943932,0.0454220146920514
"H2",2014,"maturing",8,28,6,1.26546567528967,0.57190652634046,6,13,-0.445946776323318,-1.01813201241535,0.139933557205359
"C5b",2014,"control",0,2,3,0.693147180559945,1,2,2,-2.15646863260684,-0.48811205654303,0.0216587722854479
"C5a",2014,"control",0,18,6,1.33600738225097,0.608023473738609,5,5,-0.322322341547604,1.05846832787237,0.1647095139342
"C1b",2014,"control",0,36,6,1.28499003351937,0.391724570336973,5,9,-0.499376083709403,0.220268204597764,0.0533135429549096
"C2a",2014,"control",0,28,7.33333333333333,1.5868724489534,0.585813915695833,7,7,-0.209561287450525,-1.77628592797237,0.123036480119284
"H3",2014,"maturing",7,45,57,1.48476179677955,0.475454581155734,12,12,0.342594919882015,-1.54424883387108,0.143321870257251
